date,record_version,minutes_covered,minutes_past_midnight,temperature_outside,temperature_outside_high,temperature_outside_low,temperature_inside,barometric_pressure,humidity_outside,humidity_inside,wind_speed,wind_speed_high,wind_direction_prevailing,wind_direction_speed_high,number_of_wind_samples,solar_radiation,solar_radiation_high,uv_index,uv_index_high,rain_amount,rain_rate,wind_direction_prevailing_degrees,wind_direction_speed_high_degrees,timestamp
2025-07-16 11:05:00,,5,665,24.72,24.78,24.72,26.89,1007.93,51.0,46.0,0.0,2.19,NNE,NNE,60,,,,,0.0,0.0,22.5,22.5,854590545
2025-07-16 11:10:00,,5,670,24.17,24.61,24.17,26.56,1007.72,49.0,44.0,0.0,2.24,ESE,N,117,,,,,0.0,0.0,112.5,360.0,854590550
2025-07-16 11:15:00,,5,675,23.67,24.17,23.67,26.22,1007.72,48.0,43.0,0.0,1.79,N,N,117,,,,,0.0,0.0,360.0,360.0,854590555
2025-07-16 11:20:00,,5,680,23.28,23.72,23.28,25.89,1007.62,48.0,42.0,0.0,1.34,N,N,117,,,,,0.0,0.0,360.0,360.0,854590560
2025-07-16 11:25:00,,5,685,22.94,23.28,22.94,25.67,1007.72,51.0,44.0,0.0,0.89,N,N,117,,,,,0.0,0.0,360.0,360.0,854590565
2025-07-16 11:30:00,,5,690,22.61,22.89,22.61,25.5,1007.89,51.0,44.0,0.0,0.45,N,N,117,,,,,0.0,0.0,360.0,360.0,854590570
2025-07-16 11:35:00,,5,695,22.33,22.61,22.33,25.33,1007.82,53.0,44.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590575
2025-07-16 11:40:00,,5,700,22.17,22.33,22.17,25.06,1007.72,53.0,45.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590580
2025-07-16 11:45:00,,5,705,22.0,22.17,22.0,24.83,1007.86,55.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590585
2025-07-16 11:50:00,,5,710,21.94,22.0,21.89,24.72,1007.93,58.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590590
2025-07-16 11:55:00,,5,715,21.94,21.94,21.89,24.83,1007.93,59.0,49.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590595
2025-07-16 12:00:00,,5,720,21.89,21.89,21.89,24.78,1007.93,56.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590640
2025-07-16 12:05:00,,5,725,21.78,21.89,21.78,24.72,1007.89,56.0,48.0,0.0,1.34,N,N,117,,,,,0.0,0.0,360.0,360.0,854590645
2025-07-16 12:10:00,,5,730,21.67,21.78,21.67,24.67,1007.96,55.0,47.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590650
2025-07-16 12:15:00,,5,735,21.5,21.67,21.5,24.56,1007.93,55.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590655
2025-07-16 12:20:00,,5,740,21.39,21.5,21.39,24.56,1007.89,57.0,48.0,0.0,2.24,N,N,117,,,,,0.0,0.0,360.0,360.0,854590660
2025-07-16 12:25:00,,5,745,21.28,21.39,21.28,24.5,1007.82,56.0,46.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590665
2025-07-16 12:30:00,,5,750,21.28,21.33,21.28,24.44,1007.93,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590670
2025-07-16 12:35:00,,5,755,21.28,21.28,21.28,24.56,1008.06,58.0,48.0,0.0,2.68,N,N,117,,,,,0.0,0.0,360.0,360.0,854590675
2025-07-16 12:40:00,,5,760,21.22,21.28,21.22,24.5,1007.96,58.0,47.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590680
2025-07-16 12:45:00,,5,765,21.28,21.28,21.22,24.56,1008.06,59.0,50.0,0.0,2.24,NNW,NNW,117,,,,,0.0,0.0,337.5,337.5,854590685
2025-07-16 12:50:00,,5,770,21.17,21.28,21.17,24.67,1008.06,57.0,47.0,0.0,0.89,SW,SW,117,,,,,0.0,0.0,225.0,225.0,854590690
2025-07-16 12:55:00,,5,775,21.11,21.17,21.11,24.5,1008.23,58.0,47.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590695
2025-07-16 13:00:00,,5,780,21.11,21.11,21.11,24.44,1008.2,58.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590740
2025-07-16 13:05:00,,5,785,21.06,21.11,21.06,24.28,1008.33,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590745
2025-07-16 13:10:00,,5,790,21.06,21.11,21.06,24.17,1008.26,61.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590750
2025-07-16 13:15:00,,5,795,21.06,21.11,21.06,24.11,1008.16,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590755
2025-07-16 13:20:00,,5,800,21.0,21.06,21.0,24.0,1008.26,59.0,48.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590760
2025-07-16 13:25:00,,5,805,21.06,21.06,21.0,23.94,1008.23,61.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590765
2025-07-16 13:30:00,,5,810,21.06,21.06,21.0,23.94,1008.26,58.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590770
2025-07-16 13:35:00,,5,815,21.0,21.06,21.0,23.83,1008.26,58.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590775
2025-07-16 13:40:00,,5,820,20.94,21.0,20.94,23.78,1008.23,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590780
2025-07-16 13:45:00,,5,825,20.94,21.0,20.94,23.72,1008.13,60.0,50.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590785
2025-07-16 13:50:00,,5,830,20.94,21.0,20.94,23.72,1008.3,59.0,49.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590790
2025-07-16 13:55:00,,5,835,21.0,21.0,20.94,23.83,1008.26,64.0,52.0,0.0,,NONE,NONE,117,,,,,0.0,0.0,,,854590795
2025-07-16 14:00:00,,5,840,21.17,21.17,21.0,24.06,1008.26,66.0,54.0,0.0,,NONE,NONE,118,,,,,0.0,0.0,,,854590840
